name,price,Discount
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 16,450",21%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 3,699",5%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 1,421",6%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,110",5%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 16,999",21%
Dettol Dettol Soap Herbal 175g,"KSh 1,550",8%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,170",12%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 13,995",51%
Durex Play Tingle Lubricant - 50ml,"KSh 1,699",26%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 1,050",19%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 13,345",29%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,001",23%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 90,000",15%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,170",11%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 3,465",23%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,421",20%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 780,21%
Starlink Standard Actuated Kit,"KSh 28,380",25%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 3,685",25%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 22,550",6%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,680",25%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 2,199",9%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 11,800",15%
Nunix Free standing Hot and Normal -Q7n White,"KSh 19,250",46%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 4,769",8%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,660",12%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,540",25%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 12,434",47%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 36,877",16%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 1,600",9%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)",KSh 95,2%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 11,800",4%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 332,19%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 24,150",49%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 5,381",21%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,999",5%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White",KSh 520,6%
Fay Fay Kitchen Towels Twin Pack,KSh 367,5%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 12,699",21%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 47,442",8%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,KSh 284,12%
